player_name,dribble_past_count
Karim Rekik,1
Roberto Suárez Pier,1
Bruno González Cabrera,1
Robert Navarro Muñoz,1
Carlos Fernández Luna,1
Robert Kenedy Nunes do Nascimento,1
Víctor Ruíz Torre,1
Gabriel Veiga Novas,1
Alejandro Blanco Sánchez,1
Víctor David Díaz Miguel,1
Germán Sánchez Barahona,1
Gonzalo Cacicedo Verdú,1
Adnan Januzaj,1
Hugo Mallo Novegil,1
Héctor Junior Firpo Adames,1
Iago Aspas Juncal,1
Iker Muniain Goñi,1
Jaime Mata Arnaiz,1
Vicente Iborra De La Fuente,1
Javier Galán Gil,1
Jeison Fabián Murillo Cerón,1
Jens Jønsson,1
Jesús Joaquín Fernández Sáez de la Torre,1
Unai García Lugea,1
Alejandro Remiro Gargallo,1
Jonathan Calleri,1
Jonathan Rodríguez Menéndez,1
Tomas Franco Tavares,1
Jorge Andújar Moreno,1
Thomas Lemar,1
Jorge Miramón Santagertrudis,1
Sergio Postigo Redondo,1
José Antonio Miranda Boacho,1
Sergio León Limones,1
Sergio Herrera Pirón,1
José Ignacio Peleteiro Ramallo,1
José Luis Gayà Peña,1
Sergio Guardiola Navarro,1
José Luis Sanmartín Mato,1
Juan Camilo Hernández Suárez,1
Allan Romeo Nyom,1
Ander Barrenetxea Muguruza,1
Jules Koundé,1
Kieran Trippier,1
Lucas Torró Marset,1
Lucas Vázquez Iglesias,1
Samuel Yves Umtiti,1
Luis Javier Suárez Charris,1
Luis Milla Manzanares,1
Luuk de Jong,1
Salvador Sánchez Ponce,1
Manuel Sánchez De La Peña,1
Sabit Abdulai,1
Adrián López Álvarez,1
Marco Asensio Willemsen,1
Marcos André de Sousa Mendonça,1
Marcos Javier Acuña,1
Marcos Llorente Moreno,1
Marcos Mauro López Gutiérrez,1
Íñigo Lekue Martínez,1
Augusto Matías Fernández,1
Ronald Federico Araújo da Silva,1
Éder Gabriel Militão,1
Mickaël Malsa,1
Miguel Ángel Garrido Cifuentes,1
