player_name,shot_count
Lionel Andrés Messi Cuccittini,195
Antoine Griezmann,64
Ousmane Dembélé,47
Philippe Coutinho Correia,27
Jordi Alba Ramos,24
Pedro González López,22
Martin Braithwaite Christensen,22
Francisco António Machado Mota de Castro Trincão,20
Frenkie de Jong,15
Anssumane Fati,14
Miralem Pjanić,14
Sergino Dest,14
Moriba Kourouma Kourouma,13
Ronald Federico Araújo da Silva,10
Clément Lenglet,10
Óscar Mingueza García,9
Gerard Piqué Bernabéu,8
Gerard Moreno Balaguero,6
Karim Benzema,6
Rafael Mir Vicente,6
Yannick Ferreira Carrasco,6
Sergi Roberto Carnicer,5
José Luis Morales Nogales,5
Jonathan Calleri,5
Toni Kroos,5
Adnan Januzaj,4
Roque Mesa Quevedo,4
Sergio Ramos García,4
Manuel Agudo Durán,4
Saúl Ñíguez Esclapez,4
Lucas Pérez Martínez,4
Alexander Isak,4
Willian José da Silva,4
José Antonio Rodríguez Díaz,3
Gonçalo Manuel Ganchinho Guedes,3
Jorge Andújar Moreno,3
Iñaki Williams Arthuer,3
Lorenzo Jesús Morón García,3
Federico Santiago Valverde Dipetta,3
Cristian Tello Herrera,3
Uroš Račić,3
Ante Budimir,3
Luis Alberto Suárez Díaz,3
Ricard Puig Martí,3
Enrique Barja Afonso,3
Yuri Berchiche Izeta,3
Darwin Daniel Machís Marcano,3
Daniel Gómez Alcón,3
Raúl García Escudero,3
Rubén Alcaraz Jiménez,3
Jon Bautista Orgilles,2
Alejandro Berenguer Remiro,2
Lucas Ariel Ocampos,2
Víctor Ruíz Torre,2
Luka Modrić,2
Juan Miguel Jiménez López,2
Jesús Navas González,2
Iker Muniain Goñi,2
Lucas René Olaza Catrofe,2
Gonzalo Julián Melero Manzanares,2
Borja Iglesias Quintas,2
Takefusa Kubo,2
Jaime Mata Arnaiz,2
Arnaldo Antonio Sanabria Ayala,2
Luis Jesús Rioja González,2
Marcos Llorente Moreno,2
Raphaël Varane,2
Mikel Merino Zazón,2
Maximiliano Gómez González,2
Mario Gaspar Pérez Martínez,2
Santiago Mina Lorenzo,2
Francisco Román Alarcón Suárez,2
Carlos Soler Barragán,2
Álvaro Negredo Sánchez,2
Marc Cucurella Saseta,2
Joan Jordán Moreno,2
Jorge De Frutos Sebastián,2
Jules Koundé,2
Rubén García Santos,2
Fabián Ariel Orellana Valenzuela,2
Ángel Martín Correa,2
Luis Javier Suárez Charris,2
Alejandro Moreno Lopera,2
Miguel Baeza Pérez,2
Lucas Ariel Boyé,2
Roberto Torres Morales,2
Samuel Yves Umtiti,2
Guido Marcelo Carrillo,2
José Luis Gayà Peña,2
Juan Camilo Hernández Suárez,2
Vinícius José Paixão de Oliveira Júnior,2
Sergio Busquets i Burgos,2
Facundo Sebastián Roncaglia,2
Marcos André de Sousa Mendonça,2
Sergio León Limones,2
Alberto Perea Correoso,2
Rubén Sobrino Pozuelo,2
Denis Cheryshev,2
Gabriel Armando de Abreu,2
Carlos Fernández Luna,1
Mickaël Malsa,1
José Luis Sanmartín Mato,1
Éder Gabriel Militão,1
Pablo Maffeo Becerra,1
Ángel Luis Rodríguez Díaz,1
Edgar Antonio Méndez Ortega,1
Luuk de Jong,1
Martín Merquelanz Castellanos,1
Yeray Álvarez López,1
Mikel Oyarzabal Ugarte,1
Iago Aspas Juncal,1
Omobolaji Habeeb Adekanye,1
Jorge Molina Vidal,1
Pablo Hervías Ruiz,1
José Antonio Miranda Boacho,1
José Manuel Fontán Mondragón,1
Unai Vencedor Paris,1
Javier Sánchez de Felipe,1
Juan Carlos Real Ruiz,1
Pere Milla Peña,1
João Félix Sequeira,1
Yan Brice Eteki,1
Enis Bardhi,1
Óscar Plano Pedreño,1
Sergio Canales Madrazo,1
Kenan Kodro,1
Nemanja Maksimović,1
Rodrigo Andrés Battaglia,1
Sergio Guardiola Navarro,1
Enes Ünal,1
Christian Gabriel Oliva Giménez,1
Martín Zubimendi Ibáñez,1
Nabil Fekir,1
Marc Bartra Aregall,1
Sergio Escudero Palomo,1
Ivan Rakitić,1
Robert Kenedy Nunes do Nascimento,1
Pablo Ínsua Blanco,1
Marcelo Vieira da Silva Júnior,1
Marc-André ter Stegen,1
Pervis Josué Estupiñán Tenorio,1
Shinji Okazaki,1
Adrián López Álvarez,1
Álvaro Giménez Candela,1
David Ferreiro Quiroga,1
Roberto Suárez Pier,1
David Timor Copoví,1
Francis Joseph Coquelin,1
Roberto Soldado Rillo,1
Jon Moncayola Tollar,1
Mouctar Diakhaby,1
Etienne Capoue,1
Jairo Izquierdo González,1
Roger Martí Salvador,1
Mathías Olivera Miramontes,1
João Pedro Neves Filipe,1
Iván Alejo Peralta,1
Samuel Chimerenka Chukwueze,1
Youssef En-Nesyri,1
Alejandro Fernández Iglesias,1
Jesús Joaquín Fernández Sáez de la Torre,1
Carlos Henrique Casimiro,1
Héctor Junior Firpo Adames,1
Sofian Chakla,1
Florian Grégoire Claude Lejeune,1
Thomas Lemar,1
Manuel Trigueros Muñoz,1
Felipe Augusto de Almeida Monteiro,1
Denis Suárez Fernández,1
Ander Barrenetxea Muguruza,1
David García Zubiría,1
Kevin Gameiro,1
Ignacio Monreal Eraso,1
William Silva de Carvalho,1
Enrique Pérez Muñoz,1
Yangel Clemente Herrera Ravelo,1
Francisco Javier Hidalgo Gómez,1
Néstor Alejandro Araújo Razo,1
Lucas Vázquez Iglesias,1
Thierry Rendall Correia,1
Carles Aleña Castillo,1
José Raúl Gutiérrez Parejo,1
Vicente Iborra De La Fuente,1
Augusto Jorge Mateo Solari,1
Javier Ontiveros Parra,1
