player_name,through_balls_count
Lionel Andrés Messi Cuccittini,67
Sergio Busquets i Burgos,37
Frenkie de Jong,24
Pedro González López,22
Jordi Alba Ramos,13
Philippe Coutinho Correia,10
Antoine Griezmann,9
Ousmane Dembélé,8
Miralem Pjanić,6
Ricard Puig Martí,6
Sergi Roberto Carnicer,5
Iago Aspas Juncal,4
Clément Lenglet,4
Óscar Mingueza García,4
Anssumane Fati,3
Martin Braithwaite Christensen,3
Vinícius José Paixão de Oliveira Júnior,3
Carlos Henrique Casimiro,2
Yangel Clemente Herrera Ravelo,2
Ronald Federico Araújo da Silva,2
José Andrés Guardado Hernández,2
Luka Modrić,2
Gonzalo Julián Melero Manzanares,2
Toni Kroos,2
Manuel Agudo Durán,2
Sergio Canales Madrazo,2
Francisco António Machado Mota de Castro Trincão,2
Kieran Trippier,2
Daniel Gómez Alcón,2
Néstor Alejandro Araújo Razo,1
Juan Camilo Hernández Suárez,1
Ferland Mendy,1
Carles Aleña Castillo,1
Mickaël Malsa,1
Mikel Merino Zazón,1
Sergino Dest,1
Luis Javier Suárez Charris,1
Karim Benzema,1
Sergio Guardiola Navarro,1
Enes Ünal,1
Nabil Fekir,1
José Ignacio Peleteiro Ramallo,1
Miguel Baeza Pérez,1
Roque Mesa Quevedo,1
Facundo Sebastián Roncaglia,1
José Antonio Rodríguez Díaz,1
Roberto Soldado Rillo,1
Ander Guevara Lajo,1
Jon Moncayola Tollar,1
Robert Navarro Muñoz,1
Roger Martí Salvador,1
Cristian Portugués Manzanera,1
Moriba Kourouma Kourouma,1
Iñigo Pérez Soto,1
Willian José da Silva,1
Gerard Piqué Bernabéu,1
Yannick Ferreira Carrasco,1
Denis Suárez Fernández,1
Ángel Martín Correa,1
Lucas Pérez Martínez,1
Antonio Barragán Fernández,1
Daniel Wass,1
