player_name,completed_dribbles_count
Lionel Andrés Messi Cuccittini,456
Ousmane Dembélé,141
Frenkie de Jong,79
Luis Alberto Suárez Díaz,74
Nélson Cabral Semedo,63
Philippe Coutinho Correia,61
Sergio Busquets i Burgos,42
Jordi Alba Ramos,38
Antoine Griezmann,37
Anssumane Fati,35
Sergi Roberto Carnicer,32
Sergino Dest,32
Arthur Henrique Ramos de Oliveira Melo,29
Ivan Rakitić,26
Pedro González López,22
Clément Lenglet,20
Ricard Puig Martí,20
Gerard Piqué Bernabéu,20
Samuel Chimerenka Chukwueze,19
Francisco António Machado Mota de Castro Trincão,18
Arturo Erasmo Vidal Pardo,16
Martin Braithwaite Christensen,16
Héctor Junior Firpo Adames,13
Yannick Ferreira Carrasco,12
Vinícius José Paixão de Oliveira Júnior,11
Moriba Kourouma Kourouma,11
Sergio Guardiola Navarro,10
Denis Suárez Fernández,10
Malcom Filipe Silva de Oliveira,9
Óscar Rodríguez Arnaiz,9
Samuel Yves Umtiti,8
Mikel Oyarzabal Ugarte,8
Iñaki Williams Arthuer,7
Thomas Teye Partey,7
Carles Aleña Castillo,7
Sergio Reguilón Rodríguez,7
Takefusa Kubo,6
Luis Jesús Rioja González,6
Miralem Pjanić,6
Darwin Daniel Machís Marcano,6
Enrique Pérez Muñoz,6
Alberto Perea Correoso,6
Alexander Isak,6
Joan Jordán Moreno,6
Cristian Portugués Manzanera,6
Borja Mayoral Moya,6
Francisco Román Alarcón Suárez,6
Óscar Mingueza García,6
Gonçalo Manuel Ganchinho Guedes,5
Sofiane Boufal,5
Damián Nicolás Suárez Suárez,5
Éver Maximiliano David Banega,5
Ángel Martín Correa,5
Jorge Andújar Moreno,5
Roger Martí Salvador,5
Mikel Merino Zazón,5
Roque Mesa Quevedo,5
Jorge Resurrección Merodio,5
José Luis Morales Nogales,5
Daniel José Rodríguez Vázquez,5
Rubén Rochina Naixes,5
David Ferreiro Quiroga,5
Karim Benzema,5
Moussa Wagué,5
Javier Galán Gil,5
Jesús Navas González,5
José Ángel Gómez Campaña,4
Mauro Wilney Arambarri Rosa,4
Miguel Alfonso Herrero Javaloyas,4
Ferland Mendy,4
Adnan Januzaj,4
Pau Francisco Torres,4
Raúl de Tomás Gómez,4
Francisco José Olivas Alba,4
Ronald Federico Araújo da Silva,4
Gerard Moreno Balaguero,4
Saúl Ñíguez Esclapez,4
Iago Aspas Juncal,4
Toni Kroos,4
Iker Muniain Goñi,4
Wissam Ben Yedder,4
Iñigo Córdoba Kerejeta,4
Álvaro Borja Morata Martín,4
Javier Ontiveros Parra,4
Jonathan Cristian Silva,4
Jorge De Frutos Sebastián,4
José Antonio Rodríguez Díaz,4
José Ignacio Fernández Iglesias,4
Daniel Parejo Muñoz,4
Ander Barrenetxea Muguruza,4
João Félix Sequeira,4
Dimitri Foulquier,4
André-Frank Zambo Anguissa,4
Marcos Llorente Moreno,4
Enis Bardhi,4
Martin Ødegaard,4
Rubén Salvador Pérez Del Mármol,3
Carlos Fernández Luna,3
Manuel Trigueros Muñoz,3
Gareth Frank Bale,3
Aleix Vidal Parreu,3
Aitor Ruibal García,3
Youssef En-Nesyri,3
Edgar Antonio Méndez Ortega,3
Jaime Mata Arnaiz,3
Álvaro Vadillo Cifuentes,3
Óscar Melendo Jiménez,3
Carlos Henrique Casimiro,3
Francisco Portillo Soler,3
Roberto José Rosales Altuve,3
Javier López Rodríguez,3
Alejandro Moreno Lopera,3
Jesús Joaquín Fernández Sáez de la Torre,3
Raúl Rodríguez Navas,3
Borja Iglesias Quintas,3
Jon Moncayola Tollar,3
Daniel Carvajal Ramos,3
Marc Roca Junqué,3
Jonathan Rodríguez Menéndez,3
Jorge Miramón Santagertrudis,3
José Andrés Guardado Hernández,3
Pablo Hervías Ruiz,3
Matías Ezequiel Vargas Martín,3
Juan Marcos Foyth,3
Munir El Haddadi Mohamed,3
Ander Guevara Lajo,3
David Remeseiro Salgueiro,3
Mubarak Wakaso,3
Mikel Vesga Arruti,3
Lorenzo Jesús Morón García,3
Lucas Ariel Ocampos,3
Lucas Pérez Martínez,3
Lucas René Olaza Catrofe,3
Diego da Silva Costa,3
Mario Hermoso Canseco,3
Luka Modrić,3
Andoni Gorosabel Espinosa,3
Hugo Mallo Novegil,3
Carles Pérez Sayol,3
Thomas Lemar,3
